,Geography,Gender,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4375,Germany,Male,YES,NO,31825.84,NO
4376,France,Female,YES,NO,185561.89,NO
4377,France,Female,YES,NO,25803.59,YES
4378,France,Female,YES,YES,154337.47,NO
4379,France,Male,YES,YES,138145.62,NO
4380,Germany,Male,YES,NO,51565.98,YES
4381,France,Male,NO,YES,71323.23,NO
4382,France,Female,NO,NO,38882.34,NO
4383,France,Male,YES,YES,676.06,NO
4384,France,Male,YES,YES,72203.8,NO
4385,France,Male,YES,NO,174094.24,NO
4386,Germany,Female,YES,NO,2150.22,NO
4387,Spain,Female,YES,YES,177783.04,NO
4388,Spain,Female,YES,NO,44363.42,NO
4389,France,Male,NO,NO,96847.91,NO
4390,France,Female,YES,YES,148579.43,YES
4391,France,Male,YES,NO,38308.34,NO
4392,France,Male,NO,YES,142538.31,NO
4393,Germany,Female,NO,NO,153122.58,NO
4394,Germany,Male,NO,YES,169505.83,NO
4395,France,Female,YES,NO,57929.9,NO
4396,Germany,Male,NO,NO,175399.14,NO
4397,Germany,Male,YES,YES,107964.36,NO
4398,France,Female,YES,NO,94263.44,NO
4399,France,Female,YES,NO,155921.81,YES
4400,Germany,Female,NO,YES,137995.66,YES
4401,Spain,Female,YES,NO,179631.85,NO
4402,Germany,Female,YES,NO,166586.99,YES
4403,Germany,Female,YES,NO,115116.35,YES
4404,Spain,Male,YES,YES,23881.62,NO
4405,Spain,Female,YES,YES,105837.38,NO
4406,Germany,Female,YES,YES,101418.05,NO
4407,France,Female,YES,NO,182266.01,NO
4408,France,Male,NO,YES,28698.17,NO
4409,Germany,Male,NO,YES,50422.36,YES
4410,Germany,Male,YES,YES,151336.96,NO
4411,Spain,Male,YES,NO,112979.6,YES
4412,France,Female,NO,NO,36371.27,NO
4413,Germany,Male,YES,YES,52166.25,NO
4414,Germany,Male,YES,NO,147261.58,NO
4415,France,Female,YES,NO,88724.49,NO
4416,France,Male,YES,NO,190531.77,NO
4417,Spain,Male,YES,YES,199953.33,NO
4418,Spain,Female,YES,NO,144290.97,NO
4419,Germany,Female,YES,YES,130514.78,NO
4420,Germany,Female,YES,YES,53954.24,NO
4421,Spain,Female,YES,YES,169802.73,NO
4422,Germany,Female,YES,YES,146851.73,NO
4423,France,Female,YES,YES,96832.82,NO
4424,Germany,Female,YES,YES,57553.02,NO
4425,France,Female,NO,YES,74800.99,NO
4426,France,Female,YES,YES,192542.17,NO
4427,France,Female,YES,NO,72990.62,NO
4428,France,Female,YES,NO,31050.02,NO
4429,France,Male,YES,NO,52795.56,YES
4430,Spain,Male,YES,YES,27435.41,NO
4431,Germany,Female,NO,NO,150266.81,NO
4432,Spain,Male,YES,YES,40299.23,NO
4433,France,Male,YES,YES,149369.41,NO
4434,Spain,Female,YES,NO,120250.58,NO
4435,Germany,Female,YES,NO,84760.32,YES
4436,France,Male,YES,NO,156424.4,NO
4437,France,Female,YES,NO,109355.73,YES
4438,Germany,Male,YES,YES,184936.77,NO
4439,France,Female,YES,YES,36560.51,NO
4440,France,Male,YES,NO,165693.06,NO
4441,France,Female,YES,YES,163666.85,NO
4442,France,Male,NO,YES,35644.79,NO
4443,Germany,Female,YES,YES,188203.58,NO
4444,France,Female,NO,YES,6120.84,NO
4445,France,Male,YES,YES,164484.78,NO
4446,France,Female,YES,YES,164268.28,NO
4447,Germany,Female,YES,YES,140136.1,YES
4448,Germany,Female,NO,YES,121084.27,NO
4449,France,Male,YES,NO,35156.54,NO
4450,France,Male,YES,YES,103159.11,NO
4451,France,Male,YES,YES,74858.3,NO
4452,Spain,Female,NO,NO,91556.57,YES
4453,Germany,Male,NO,NO,199203.21,NO
4454,France,Male,YES,YES,27011.8,YES
4455,Spain,Female,YES,NO,188637.05,NO
4456,France,Male,YES,NO,61581.2,NO
4457,Germany,Male,YES,NO,197529.23,NO
4458,France,Male,YES,NO,182258.17,NO
4459,Germany,Female,YES,NO,80778.5,NO
4460,France,Male,YES,NO,155394.52,NO
4461,Spain,Female,YES,NO,3408.7,NO
4462,Spain,Female,YES,YES,19367.98,YES
4463,Germany,Female,YES,NO,62282.99,YES
4464,France,Male,YES,NO,65396.79,NO
4465,Germany,Male,YES,YES,139712.81,NO
4466,Spain,Male,YES,YES,60972.84,NO
4467,France,Male,YES,NO,1375.46,NO
4468,France,Female,NO,NO,22191.82,NO
4469,Spain,Male,YES,NO,8973.67,YES
4470,Germany,Female,YES,NO,118502.34,YES
4471,Spain,Female,NO,YES,161802.82,YES
4472,Germany,Female,NO,NO,90494.72,NO
4473,Germany,Female,YES,NO,15470.91,NO
4474,France,Male,NO,NO,65147.27,NO
4475,France,Male,YES,YES,157886.6,NO
4476,France,Male,YES,NO,85439.73,NO
4477,Germany,Male,NO,NO,54038.62,NO
4478,France,Male,NO,YES,25684.85,NO
4479,France,Male,YES,YES,186116.54,NO
4480,France,Female,YES,NO,166830.71,NO
4481,France,Male,NO,YES,27886.06,NO
4482,France,Female,YES,YES,5768.32,NO
4483,Germany,Female,NO,NO,80575.44,YES
4484,France,Female,YES,YES,68987.55,NO
4485,Germany,Male,YES,YES,27097.82,NO
4486,France,Male,YES,NO,199320.77,NO
4487,Germany,Male,NO,NO,5566.6,NO
4488,France,Female,NO,NO,133871.83,NO
4489,France,Female,YES,YES,152843.53,NO
4490,Spain,Female,YES,YES,41800.18,NO
4491,Germany,Male,YES,YES,92053.75,NO
4492,France,Female,YES,NO,100717.54,NO
4493,Spain,Female,YES,YES,42935.15,NO
4494,Spain,Male,YES,NO,149170.92,NO
4495,France,Female,YES,NO,107499.39,NO
4496,France,Female,YES,NO,153342.38,NO
4497,Spain,Female,YES,NO,107825.08,YES
4498,France,Male,YES,YES,47952.45,NO
4499,Germany,Female,NO,NO,131007.18,NO
4500,Germany,Male,NO,NO,33143.04,NO
4501,France,Female,YES,NO,123304.62,NO
4502,Spain,Male,YES,NO,141970.02,YES
4503,France,Male,YES,NO,37136.15,NO
4504,Spain,Male,YES,NO,199293.01,NO
4505,France,Female,NO,YES,161388.22,NO
4506,Spain,Female,YES,YES,70532.53,NO
4507,France,Male,YES,NO,144290.25,NO
4508,France,Female,YES,NO,96069.82,NO
4509,Germany,Female,YES,NO,185662.84,NO
4510,Germany,Female,NO,YES,17913.25,NO
4511,France,Female,YES,NO,101039.53,YES
4512,France,Male,NO,NO,156953.54,YES
4513,France,Female,NO,NO,28276.83,NO
4514,France,Female,YES,NO,84049.16,NO
4515,Spain,Male,YES,YES,147822.44,NO
4516,Germany,Female,YES,YES,9497.99,YES
4517,Spain,Female,YES,NO,87067.73,NO
4518,Spain,Female,YES,NO,23237.25,NO
4519,Spain,Male,YES,YES,27239.28,NO
4520,Germany,Male,YES,NO,151481.86,YES
4521,Spain,Female,YES,YES,114669.79,NO
4522,Spain,Male,NO,NO,116748.14,NO
4523,Germany,Female,YES,NO,90877.76,NO
4524,France,Male,YES,YES,133692.88,NO
4525,Spain,Male,NO,YES,30662.91,NO
4526,France,Male,YES,NO,191395.88,NO
4527,France,Male,NO,YES,106648.58,NO
4528,Spain,Female,YES,YES,50899.91,NO
4529,France,Female,YES,YES,115452.51,YES
4530,Germany,Male,YES,NO,64139.1,NO
4531,France,Male,NO,YES,22030.72,NO
4532,Spain,Male,YES,NO,38434.73,NO
4533,Spain,Male,NO,YES,42774.84,YES
4534,France,Male,YES,NO,158973.77,NO
4535,Germany,Male,YES,YES,34551.35,YES
4536,France,Female,YES,YES,101515.76,NO
4537,Spain,Female,YES,NO,9561.73,NO
4538,Spain,Male,YES,NO,168313.17,NO
4539,France,Female,YES,YES,55100.09,NO
4540,Germany,Male,YES,NO,31830.06,NO
4541,Spain,Female,YES,YES,71519.4,NO
4542,France,Male,NO,NO,32599.35,NO
4543,Germany,Female,NO,YES,139946.68,YES
4544,Spain,Male,YES,YES,110468.51,NO
4545,Germany,Female,NO,NO,74042.0,NO
4546,France,Female,YES,NO,151871.84,NO
4547,Germany,Male,NO,YES,199693.84,YES
4548,France,Female,YES,YES,58907.08,YES
4549,France,Male,NO,NO,103799.77,YES
4550,France,Female,YES,NO,93835.64,NO
4551,Spain,Female,YES,NO,156425.57,YES
4552,France,Female,YES,NO,123723.83,NO
4553,France,Male,YES,NO,199464.08,NO
4554,France,Male,YES,NO,83084.33,NO
4555,Spain,Female,YES,NO,25488.43,YES
4556,France,Female,YES,YES,9596.4,NO
4557,Germany,Male,NO,NO,70370.24,NO
4558,France,Male,NO,YES,86330.32,NO
4559,Germany,Female,NO,NO,168507.68,YES
4560,Spain,Female,YES,NO,111605.9,NO
4561,Germany,Male,NO,YES,143317.42,NO
4562,Germany,Male,YES,NO,27619.06,NO
4563,Germany,Female,NO,NO,146573.66,YES
4564,Germany,Male,YES,NO,69055.45,NO
4565,Spain,Female,YES,YES,54453.72,NO
4566,France,Female,YES,YES,33524.6,NO
4567,Spain,Female,YES,YES,135083.73,NO
4568,Germany,Male,YES,YES,137439.34,NO
4569,France,Male,YES,YES,11205.5,NO
4570,Germany,Female,YES,YES,60176.1,NO
4571,Germany,Male,YES,YES,29552.7,NO
4572,Germany,Female,YES,NO,188795.85,NO
4573,France,Female,YES,YES,11638.17,NO
4574,France,Female,YES,YES,93155.75,NO
4575,Germany,Male,NO,YES,48986.18,NO
4576,Spain,Female,NO,YES,116951.1,NO
4577,Germany,Male,YES,NO,137041.26,NO
4578,France,Male,NO,NO,44653.5,NO
4579,France,Male,YES,YES,104035.41,YES
4580,France,Female,YES,YES,110593.62,NO
4581,France,Female,YES,NO,36099.7,NO
4582,France,Male,NO,NO,12470.3,NO
4583,Spain,Female,YES,NO,95403.41,NO
4584,France,Female,YES,YES,151757.81,NO
4585,France,Male,YES,YES,47536.46,NO
4586,France,Female,YES,YES,101274.17,NO
4587,France,Female,YES,YES,140268.45,NO
4588,France,Male,YES,NO,11663.09,NO
4589,France,Male,YES,NO,150784.29,NO
4590,France,Female,YES,YES,119400.08,NO
4591,France,Female,YES,NO,126188.42,NO
4592,France,Male,YES,NO,89983.02,YES
4593,France,Female,YES,NO,29761.29,NO
4594,France,Female,NO,NO,27073.81,NO
4595,Germany,Male,YES,YES,96399.67,YES
4596,France,Male,NO,NO,45422.89,NO
4597,Germany,Female,YES,NO,108699.59,YES
4598,France,Male,YES,NO,38967.29,NO
4599,France,Female,YES,NO,116466.19,NO
4600,France,Female,YES,YES,17993.43,NO
4601,Germany,Male,NO,NO,43250.54,NO
4602,Spain,Female,YES,NO,125240.8,NO
4603,France,Male,NO,YES,191415.94,NO
4604,France,Male,NO,YES,90860.97,NO
4605,France,Female,NO,YES,141872.52,NO
4606,France,Female,YES,YES,49418.87,YES
4607,France,Male,YES,NO,170426.65,YES
4608,Germany,Male,NO,YES,51016.02,YES
4609,Spain,Male,NO,YES,81175.25,NO
4610,Germany,Male,YES,NO,99106.97,NO
4611,Germany,Male,NO,YES,79134.78,NO
4612,France,Female,NO,NO,163550.58,YES
4613,France,Female,YES,YES,67769.94,NO
4614,France,Male,YES,YES,126592.01,NO
4615,France,Female,NO,YES,89602.81,NO
4616,France,Male,NO,YES,179421.84,NO
4617,France,Male,YES,YES,156906.15,NO
4618,France,Male,NO,YES,168486.02,NO
4619,France,Female,NO,YES,132730.07,YES
4620,France,Male,NO,YES,39057.67,NO
4621,Spain,Male,NO,NO,174606.35,NO
4622,Spain,Male,YES,NO,79259.77,NO
4623,France,Female,YES,YES,168515.61,NO
4624,France,Male,YES,YES,161125.67,YES
4625,France,Female,NO,YES,77878.62,NO
4626,France,Female,YES,YES,80823.02,NO
4627,France,Male,NO,YES,119348.28,NO
4628,Spain,Male,YES,YES,178331.36,NO
4629,Germany,Male,YES,NO,119174.88,YES
4630,Germany,Male,YES,YES,82662.73,NO
4631,Germany,Female,YES,NO,40441.1,NO
4632,France,Female,YES,NO,109881.71,NO
4633,Germany,Male,YES,YES,157937.35,NO
4634,Spain,Female,YES,NO,38276.84,YES
4635,France,Female,YES,YES,65222.48,NO
4636,Germany,Female,NO,NO,2181.94,NO
4637,France,Female,YES,NO,156249.06,NO
4638,Germany,Male,YES,NO,45591.23,NO
4639,France,Female,YES,YES,79458.12,NO
4640,France,Female,NO,NO,103042.2,YES
4641,Germany,Male,YES,NO,70209.83,NO
4642,Germany,Male,YES,NO,176743.51,NO
4643,France,Female,NO,NO,10703.53,YES
4644,Spain,Male,NO,NO,151425.82,NO
4645,France,Female,YES,YES,3894.34,NO
4646,Germany,Female,YES,YES,28861.69,NO
4647,France,Female,YES,NO,177703.15,NO
4648,Spain,Female,YES,NO,136649.8,YES
4649,Germany,Male,YES,YES,175894.24,NO
4650,France,Male,YES,NO,76257.46,NO
4651,Germany,Female,NO,NO,193668.49,NO
4652,Spain,Female,YES,YES,125671.29,NO
4653,France,Female,NO,YES,174098.28,YES
4654,Germany,Female,NO,NO,187866.21,YES
4655,Spain,Male,NO,YES,100862.36,NO
4656,France,Female,YES,YES,10804.04,NO
4657,France,Male,YES,YES,170893.85,NO
4658,Spain,Male,NO,NO,22698.56,NO
4659,Germany,Female,YES,NO,89822.48,NO
4660,France,Female,NO,YES,175262.49,NO
4661,France,Female,NO,YES,15705.27,NO
4662,Spain,Male,NO,YES,170025.43,NO
4663,Germany,Male,YES,YES,17242.79,NO
4664,France,Female,YES,YES,79734.23,NO
4665,France,Male,YES,NO,92712.97,NO
4666,Germany,Female,YES,NO,99689.48,NO
4667,Germany,Male,YES,NO,93336.3,YES
4668,France,Male,YES,YES,175893.53,NO
4669,Germany,Male,YES,NO,42840.18,YES
4670,Germany,Male,YES,NO,140298.24,NO
4671,Germany,Female,YES,YES,144000.59,YES
4672,France,Female,YES,YES,113408.11,NO
4673,France,Male,YES,NO,96420.58,NO
4674,Germany,Male,NO,YES,125806.3,NO
4675,Germany,Female,YES,NO,65720.92,NO
4676,Spain,Female,YES,NO,31002.03,NO
4677,Germany,Female,NO,YES,158248.71,YES
4678,Spain,Male,YES,YES,94677.83,NO
4679,Spain,Female,YES,YES,17257.72,NO
4680,Germany,Male,NO,NO,101397.86,NO
4681,France,Female,YES,NO,84870.23,NO
4682,France,Male,YES,NO,183515.13,NO
4683,France,Male,YES,NO,75969.19,NO
4684,France,Male,YES,YES,146379.3,NO
4685,Spain,Male,NO,YES,127154.8,NO
4686,Spain,Male,YES,NO,2019.78,YES
4687,France,Male,NO,YES,197885.72,NO
4688,France,Male,YES,NO,138017.68,NO
4689,Spain,Male,NO,NO,170984.97,YES
4690,Germany,Male,YES,NO,55859.27,NO
4691,Spain,Male,YES,NO,4459.5,NO
4692,Spain,Male,NO,NO,102135.92,NO
4693,France,Female,YES,NO,112771.95,NO
4694,Spain,Male,YES,NO,32903.93,NO
4695,France,Male,YES,YES,162260.93,NO
4696,Spain,Female,NO,NO,87959.83,NO
4697,Germany,Male,YES,NO,166476.95,YES
4698,France,Male,YES,YES,25438.87,NO
4699,Spain,Male,NO,YES,157230.06,YES
4700,Spain,Male,NO,YES,197305.91,NO
4701,France,Male,NO,NO,44435.76,NO
4702,France,Male,NO,NO,181051.99,NO
4703,Spain,Female,NO,YES,159069.37,NO
4704,France,Female,YES,YES,155485.24,NO
4705,Germany,Female,NO,NO,43852.05,NO
4706,France,Male,YES,YES,140071.57,NO
4707,France,Male,YES,YES,49089.36,NO
4708,Spain,Male,NO,NO,55893.37,NO
4709,France,Male,NO,YES,192660.55,NO
4710,Germany,Female,YES,NO,137028.51,NO
4711,France,Male,NO,NO,34430.16,NO
4712,France,Male,YES,NO,108409.17,YES
4713,Germany,Male,YES,NO,145325.32,NO
4714,France,Female,NO,YES,81425.61,NO
4715,Spain,Male,YES,NO,51553.43,NO
4716,France,Male,NO,YES,52795.15,NO
4717,Germany,Male,NO,YES,84270.09,NO
4718,France,Male,YES,NO,145011.62,NO
4719,Germany,Female,YES,NO,66245.44,YES
4720,Germany,Female,NO,YES,36446.74,NO
4721,France,Female,YES,NO,137136.29,NO
4722,France,Male,NO,YES,117323.31,NO
4723,Spain,Male,YES,YES,74157.71,NO
4724,Germany,Male,YES,NO,104253.56,NO
4725,France,Female,YES,NO,2748.72,NO
4726,Germany,Male,YES,YES,195937.16,NO
4727,France,Female,NO,YES,22101.86,NO
4728,Germany,Male,NO,NO,126535.92,NO
4729,France,Female,YES,YES,44692.63,YES
4730,Spain,Female,YES,NO,112442.63,YES
4731,France,Female,NO,YES,66331.01,NO
4732,Germany,Female,YES,NO,16657.68,YES
4733,France,Female,YES,NO,20081.3,NO
4734,France,Female,YES,YES,93820.49,YES
4735,France,Male,YES,NO,130795.52,NO
4736,France,Female,YES,NO,160129.99,NO
4737,France,Male,YES,YES,189969.91,NO
4738,France,Female,NO,NO,9712.52,YES
4739,France,Female,NO,NO,196062.01,NO
4740,France,Male,YES,YES,125710.53,NO
4741,France,Male,YES,NO,23054.51,YES
4742,Germany,Male,YES,YES,170679.74,NO
4743,Spain,Female,YES,YES,181258.76,NO
4744,France,Female,YES,YES,22835.13,YES
4745,Germany,Male,YES,NO,102397.22,YES
4746,France,Male,YES,NO,115950.96,NO
4747,Spain,Male,NO,YES,15876.52,NO
4748,Germany,Female,YES,YES,117690.58,YES
4749,Germany,Male,YES,YES,173792.77,NO
4750,France,Female,YES,YES,80992.8,NO
4751,Germany,Female,YES,NO,189398.18,YES
4752,France,Male,YES,NO,56787.8,NO
4753,Spain,Male,YES,NO,148309.98,NO
4754,France,Female,YES,NO,179673.11,YES
4755,France,Female,YES,YES,138470.21,NO
4756,France,Female,YES,NO,163798.41,YES
4757,Spain,Female,YES,YES,33693.78,NO
4758,Spain,Female,YES,NO,48545.1,NO
4759,Spain,Male,NO,YES,123427.98,NO
4760,France,Male,YES,NO,174183.44,NO
4761,France,Female,YES,YES,17938.0,NO
4762,France,Male,YES,YES,90059.04,NO
4763,France,Male,YES,YES,137694.23,NO
4764,Spain,Female,YES,NO,65039.9,NO
4765,Spain,Female,NO,YES,162858.29,NO
4766,Spain,Female,YES,YES,35701.06,NO
4767,Spain,Male,YES,YES,18826.06,NO
4768,Spain,Female,YES,YES,130086.47,YES
4769,Spain,Female,NO,YES,143360.56,NO
4770,Spain,Male,YES,NO,159920.92,NO
4771,Germany,Female,YES,YES,12099.67,NO
4772,Spain,Male,YES,YES,53087.98,NO
4773,Germany,Female,YES,YES,142839.82,NO
4774,France,Female,YES,YES,178.19,NO
4775,Spain,Male,YES,YES,105618.14,NO
4776,Spain,Male,YES,YES,24734.25,NO
4777,France,Female,NO,YES,82245.67,NO
4778,Spain,Female,NO,YES,177695.67,NO
4779,Germany,Male,NO,NO,107961.11,YES
4780,Spain,Male,YES,NO,55207.41,NO
4781,Spain,Female,NO,NO,182633.63,YES
4782,France,Female,YES,YES,51587.04,NO
4783,France,Female,YES,NO,115403.31,NO
4784,Spain,Female,YES,NO,186392.99,YES
4785,France,Female,NO,NO,44374.44,NO
4786,France,Female,YES,YES,84033.35,NO
4787,France,Male,YES,YES,82276.62,NO
4788,Spain,Female,YES,NO,177528.92,NO
4789,France,Male,YES,YES,56850.92,YES
4790,Spain,Male,NO,NO,47972.65,NO
4791,Spain,Male,YES,NO,104982.39,NO
4792,Spain,Male,YES,YES,133535.29,NO
4793,France,Female,YES,YES,25571.37,NO
4794,France,Female,YES,NO,96075.55,NO
4795,France,Male,YES,YES,81634.45,NO
4796,Spain,Male,YES,YES,165008.97,NO
4797,Germany,Female,YES,YES,138191.81,NO
4798,France,Male,YES,YES,99136.49,NO
4799,France,Male,NO,NO,63584.55,YES
4800,France,Male,YES,NO,160532.88,NO
4801,France,Male,NO,YES,162683.06,NO
4802,Spain,Male,YES,NO,134878.19,NO
4803,Spain,Male,YES,YES,134626.3,NO
4804,Spain,Female,YES,NO,175480.93,NO
4805,Germany,Male,YES,NO,174337.68,NO
4806,France,Female,YES,NO,172524.51,NO
4807,France,Male,NO,NO,25395.83,NO
4808,France,Female,YES,YES,184856.89,NO
4809,France,Male,YES,NO,182624.93,NO
4810,France,Male,NO,NO,192505.62,NO
4811,Spain,Female,YES,NO,112507.63,NO
4812,France,Male,YES,NO,177295.92,NO
4813,Spain,Male,NO,YES,12465.51,NO
4814,Spain,Male,YES,NO,36122.96,NO
4815,Germany,Female,YES,NO,37836.64,NO
4816,France,Male,NO,YES,34747.43,NO
4817,France,Male,YES,YES,131097.9,NO
4818,France,Female,YES,YES,105280.55,NO
4819,France,Male,NO,YES,149653.81,NO
4820,France,Female,YES,YES,139390.99,NO
4821,France,Female,YES,NO,132436.71,NO
4822,France,Female,NO,YES,179705.13,YES
4823,Spain,Female,YES,NO,15796.66,NO
4824,France,Male,NO,NO,142754.71,NO
4825,France,Male,YES,YES,2578.43,NO
4826,France,Male,YES,YES,88992.05,NO
4827,Spain,Male,NO,YES,32936.44,YES
4828,Spain,Female,YES,NO,39122.58,NO
4829,France,Male,YES,NO,191092.62,NO
4830,Spain,Male,YES,NO,129149.06,NO
4831,France,Male,YES,NO,13218.6,NO
4832,France,Female,YES,YES,160589.18,NO
4833,France,Male,YES,NO,179657.83,NO
4834,Spain,Female,YES,NO,44335.54,YES
4835,Spain,Male,YES,YES,29217.37,NO
4836,France,Male,NO,YES,43651.49,NO
4837,France,Male,YES,NO,159654.0,NO
4838,France,Female,NO,NO,17992.94,NO
4839,France,Female,YES,NO,141501.45,YES
4840,France,Female,YES,YES,93825.78,NO
4841,Germany,Female,YES,YES,41852.24,YES
4842,Spain,Male,NO,NO,97629.31,YES
4843,France,Male,YES,NO,37065.66,NO
4844,Germany,Female,NO,NO,38614.69,NO
4845,France,Female,YES,YES,87816.86,NO
4846,France,Female,YES,NO,184866.86,NO
4847,France,Female,NO,YES,160176.47,NO
4848,France,Male,NO,YES,164357.1,NO
4849,Germany,Male,YES,YES,17818.33,NO
4850,France,Male,YES,NO,142680.64,YES
4851,France,Female,YES,NO,85081.09,NO
4852,Spain,Male,YES,YES,176450.19,NO
4853,France,Female,YES,YES,121967.88,NO
4854,Germany,Male,NO,YES,127187.04,NO
4855,Germany,Male,NO,NO,108313.34,NO
4856,France,Male,YES,YES,57205.55,NO
4857,France,Male,NO,YES,157891.86,NO
4858,France,Female,YES,NO,86927.53,NO
4859,Spain,Female,YES,YES,107753.07,NO
4860,Spain,Male,YES,NO,82158.14,NO
4861,Spain,Female,YES,NO,29135.89,YES
4862,Spain,Female,NO,YES,17095.49,NO
4863,France,Female,YES,NO,100447.53,NO
4864,France,Male,YES,NO,83470.4,YES
4865,France,Female,YES,NO,121846.81,NO
4866,Germany,Female,YES,YES,129107.59,NO
4867,France,Female,YES,NO,54726.43,NO
4868,France,Male,YES,YES,116141.72,NO
4869,France,Male,YES,YES,124872.42,YES
4870,Germany,Female,NO,NO,186438.86,YES
4871,France,Male,YES,NO,134281.11,NO
4872,Spain,Male,YES,NO,91044.47,NO
4873,France,Male,YES,YES,74320.75,NO
4874,France,Male,YES,NO,9704.66,NO
4875,France,Female,NO,NO,128600.49,NO
4876,Spain,Female,NO,NO,6468.24,NO
4877,France,Male,NO,NO,57898.58,NO
4878,Spain,Male,NO,NO,192120.66,NO
4879,Spain,Female,YES,NO,164213.53,YES
4880,Spain,Male,YES,NO,117547.76,NO
4881,France,Male,YES,NO,26149.25,NO
4882,Germany,Female,YES,NO,9181.66,NO
4883,Germany,Male,YES,YES,166588.76,NO
4884,Germany,Male,YES,NO,195053.58,YES
4885,Spain,Male,YES,NO,85787.31,NO
4886,Germany,Female,YES,NO,102428.51,NO
4887,France,Male,YES,NO,71175.94,NO
4888,France,Male,NO,YES,166440.32,NO
4889,Germany,Female,YES,YES,148848.76,YES
4890,Spain,Female,YES,NO,140286.69,NO
4891,Germany,Male,YES,YES,104220.5,NO
4892,Germany,Female,NO,NO,70778.63,YES
4893,Spain,Male,YES,NO,65868.28,NO
4894,France,Female,NO,NO,171482.56,NO
4895,France,Male,YES,YES,143204.41,NO
4896,France,Male,YES,YES,28427.84,NO
4897,Spain,Male,YES,NO,78387.32,NO
4898,France,Female,NO,YES,161076.92,NO
4899,France,Female,YES,YES,54277.45,YES
4900,France,Male,YES,YES,137180.95,NO
4901,France,Male,NO,YES,21063.71,YES
4902,France,Male,YES,YES,152210.81,NO
4903,France,Male,NO,NO,88890.75,NO
4904,France,Female,YES,YES,190534.76,NO
4905,Spain,Male,YES,NO,83090.35,NO
4906,Spain,Female,NO,YES,141426.78,NO
4907,France,Male,YES,YES,51358.66,NO
4908,France,Male,YES,NO,88703.04,YES
4909,Spain,Female,YES,NO,116696.77,NO
4910,France,Female,YES,YES,7156.09,NO
4911,Spain,Male,YES,YES,49161.12,YES
4912,France,Male,YES,NO,126743.33,YES
4913,France,Female,YES,YES,65390.46,YES
4914,Germany,Female,YES,YES,138835.91,NO
4915,France,Male,YES,YES,36154.66,NO
4916,Spain,Female,NO,YES,59755.14,NO
4917,France,Male,YES,NO,125302.64,NO
4918,France,Female,YES,NO,94274.72,YES
4919,Spain,Female,YES,YES,102260.16,NO
4920,France,Male,YES,YES,136028.97,NO
4921,Spain,Female,YES,NO,110114.38,YES
4922,France,Male,YES,YES,100442.22,YES
4923,Germany,Male,NO,NO,193597.94,NO
4924,Germany,Male,NO,NO,1871.25,NO
4925,Germany,Male,YES,YES,42831.11,NO
4926,Germany,Female,YES,NO,182156.86,NO
4927,France,Female,NO,NO,151648.66,YES
4928,Spain,Male,YES,YES,146738.83,NO
4929,France,Male,YES,YES,12148.2,NO
4930,Germany,Male,YES,YES,118029.09,NO
4931,Germany,Male,YES,YES,50783.88,NO
4932,France,Female,NO,NO,129891.66,NO
4933,Germany,Female,YES,YES,9904.63,NO
4934,France,Female,YES,YES,63213.31,NO
4935,Germany,Male,NO,NO,137565.87,NO
4936,Germany,Male,YES,NO,17185.95,YES
4937,France,Male,NO,YES,143783.46,NO
4938,Germany,Male,NO,NO,36823.28,NO
4939,France,Male,NO,NO,154957.66,YES
4940,France,Female,NO,NO,31892.82,NO
4941,Spain,Male,YES,NO,191084.4,YES
4942,France,Male,NO,NO,179718.17,NO
4943,Spain,Male,YES,YES,159823.16,NO
4944,France,Male,NO,YES,114110.97,NO
4945,France,Female,YES,YES,60993.23,NO
4946,France,Female,YES,YES,66408.01,YES
4947,France,Female,YES,YES,136398.9,NO
4948,Spain,Female,YES,YES,140709.25,NO
4949,France,Male,NO,NO,8555.73,NO
4950,Germany,Female,YES,NO,115022.94,NO
4951,France,Male,NO,NO,187638.34,NO
4952,Spain,Male,YES,YES,3829.13,NO
4953,Spain,Male,NO,NO,119357.93,NO
4954,Spain,Male,YES,YES,192175.52,NO
4955,Germany,Male,YES,NO,128841.31,NO
4956,Spain,Male,NO,NO,150422.35,NO
4957,France,Male,YES,NO,188187.05,NO
4958,France,Male,YES,NO,1775.52,NO
4959,Spain,Female,YES,YES,85086.78,NO
4960,France,Male,YES,YES,3797.79,NO
4961,Germany,Male,YES,NO,150856.38,NO
4962,France,Female,NO,YES,90537.47,NO
4963,France,Male,YES,YES,166370.81,NO
4964,France,Female,YES,NO,178994.13,YES
4965,France,Male,YES,YES,195681.43,NO
4966,France,Male,YES,YES,53277.15,NO
4967,Germany,Male,YES,NO,172490.78,YES
4968,Spain,Male,NO,NO,11819.84,NO
4969,Spain,Female,YES,YES,82900.25,NO
4970,Spain,Male,YES,YES,82709.8,NO
4971,Spain,Male,YES,YES,180593.45,NO
4972,Germany,Male,YES,NO,172363.41,NO
4973,France,Female,YES,YES,91195.12,NO
4974,Spain,Female,NO,YES,108987.25,YES
4975,France,Male,YES,NO,44265.28,NO
4976,Germany,Female,YES,NO,116613.26,NO
4977,Spain,Male,YES,YES,148527.56,NO
4978,Germany,Male,NO,YES,84239.46,NO
4979,Germany,Female,YES,YES,62002.04,NO
4980,Germany,Male,YES,NO,46044.48,YES
4981,Spain,Female,NO,NO,169669.33,YES
